"pid","Date","NewRank","VS","Result","Tournament_Name"
"Wriggle",17676,1988.21010503176,"JC","Win","UW PR Singles #3 - ANTi isn't here this time :("
"JC",17676,1873.74369143951,"Wriggle","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Android?",17676,2358.64493641939,"Sweets","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Sweets",17676,2166.80250038988,"Android?","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Ro",17676,2205.53693989326,"Smash Detour","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Smash Detour",17676,1899.58306854067,"Ro","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Vinnie (not the Tristate one)",17676,2274.09450205042,"TTO","Win","UW PR Singles #3 - ANTi isn't here this time :("
"TTO",17676,1885.09515812823,"Vinnie (not the Tristate one)","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"ETON",17676,2328.05034786906,"Cyronna","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Cyronna",17676,2083.38728344383,"ETON","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Kavi",17676,2128.08288941633,"TamashaSmash","Win","UW PR Singles #3 - ANTi isn't here this time :("
"TamashaSmash",17676,1908.79709192081,"Kavi","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Nathan Pineapple",17676,2202.71923795778,"Haushinka","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Haushinka",17676,1883.32659139479,"Nathan Pineapple","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Pandarian",17676,2895.43517796407,"Wriggle","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Wriggle",17676,1986.16120659721,"Pandarian","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Pokalink",17676,2356.19936646213,"Yayzors","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Yayzors",17676,2060.66339961205,"Pokalink","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Mika",17676,2662.88507425498,"Android?","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Android?",17676,2312.86260166381,"Mika","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Slow Dancer",17676,2471.50637443806,"Ro","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Ro",17676,2161.48794390724,"Slow Dancer","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Pokepen",17676,2608.01347756626,"Vinnie (not the Tristate one)","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Vinnie (not the Tristate one)",17676,2227.29335464502,"Pokepen","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Gyromight",17676,2299.79988814236,"ETON","Win","UW PR Singles #3 - ANTi isn't here this time :("
"ETON",17676,2184.48908870589,"Gyromight","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Duwang",17676,2540.34179073409,"Kavi","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Kavi",17676,2110.07142634605,"Duwang","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Nathan Pineapple",17676,2272.76102079665,"MD4","Win","UW PR Singles #3 - ANTi isn't here this time :("
"MD4",17676,2166.09613232652,"Nathan Pineapple","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Pandarian",17676,2903.54326744984,"Pokalink","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Pokalink",17676,2347.85017670793,"Pandarian","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Slow Dancer",17676,2554.89343031497,"Mika","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Mika",17676,2602.12202709035,"Slow Dancer","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Gyromight",17676,2416.60277619198,"Pokepen","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Pokepen",17676,2524.14483389736,"Gyromight","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Duwang",17676,2562.78548468878,"Nathan Pineapple","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Nathan Pineapple",17676,2248.10353710088,"Duwang","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Slow Dancer",17676,2644.90591872941,"Pandarian","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Pandarian",17676,2791.79739738267,"Slow Dancer","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Duwang",17676,2594.97534520311,"Gyromight","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Gyromight",17676,2377.27831670185,"Duwang","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Slow Dancer",17676,2687.03778109204,"Duwang","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Duwang",17676,2555.12814182273,"Slow Dancer","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"MD4",17676,2191.30750972324,"JC","Win","UW PR Singles #3 - ANTi isn't here this time :("
"JC",17676,1841.3600379856,"MD4","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"ETON",17676,2271.84391504871,"Sweets","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Sweets",17676,2095.13427051608,"ETON","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Vinnie (not the Tristate one)",17676,2268.59452249326,"Smash Detour","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Smash Detour",17676,1858.92318330571,"Vinnie (not the Tristate one)","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Ro",17676,2197.79080879993,"TTO","Win","UW PR Singles #3 - ANTi isn't here this time :("
